order_id,customer_id,category,price,is_returned,return_reason
1001,8174,Home & Kitchen,140.36,0,
1002,8507,Electronics,225.06,0,
1003,5860,Apparel,200.32,0,
1004,6294,Home & Kitchen,50.64,0,
1005,6130,Sports,88.25,1,Defective
1006,6095,Apparel,73.39,0,
1007,8772,Electronics,189.83,0,
1008,8092,Beauty,22.88,0,
1009,6638,Home & Kitchen,148.92,0,
1010,7169,Home & Kitchen,194.18,0,
1011,5466,Home & Kitchen,221.04,0,
1012,6238,Electronics,95.39,0,
1013,5330,Apparel,208.0,0,
1014,6482,Beauty,41.0,0,
1015,7135,Beauty,213.92,1,Sizing & Fit
1016,8444,Beauty,44.96,1,Defective
1017,8171,Sports,108.36,0,
1018,7919,Electronics,202.36,0,
1019,8735,Electronics,50.23,0,
1020,5130,Beauty,68.87,0,
1021,6685,Home & Kitchen,184.73,1,Defective
1022,8380,Home & Kitchen,184.21,0,
1023,5769,Beauty,165.67,0,
1024,7391,Beauty,178.08,0,
1025,6515,Apparel,142.54,0,
1026,8485,Electronics,74.17,0,
1027,7853,Apparel,96.24,0,
1028,7433,Electronics,57.68,0,
1029,6215,Apparel,228.49,0,
1030,5955,Electronics,152.1,0,
1031,7324,Electronics,109.2,0,
1032,6184,Apparel,123.57,0,
1033,5459,Electronics,237.61,0,
1034,8385,Apparel,51.04,0,
1035,5021,Apparel,152.76,0,
1036,7300,Beauty,133.88,0,
1037,5747,Electronics,158.69,0,
1038,7904,Apparel,19.26,1,Changed Mind
1039,8632,Electronics,219.95,0,
1040,5474,Beauty,234.05,0,
1041,6082,Apparel,147.81,0,
1042,7558,Home & Kitchen,178.71,0,
1043,8753,Apparel,231.79,0,
1044,7047,Apparel,181.2,0,
1045,8547,Electronics,50.85,1,Sizing & Fit
1046,7747,Electronics,150.43,0,
1047,5975,Home & Kitchen,157.58,0,
1048,6806,Home & Kitchen,114.67,0,
1049,5189,Sports,188.06,1,Defective
1050,8005,Electronics,234.58,0,
1051,7734,Apparel,232.51,1,Sizing & Fit
1052,8005,Beauty,120.95,0,
1053,5562,Apparel,41.61,1,Sizing & Fit
1054,6899,Electronics,246.44,0,
1055,8638,Apparel,212.14,1,Wrong Item
1056,6267,Apparel,44.3,0,
1057,7879,Sports,231.4,1,Defective
1058,6528,Beauty,219.43,0,
1059,8202,Home & Kitchen,136.93,0,
1060,8556,Electronics,153.95,0,
1061,8890,Apparel,108.77,1,Sizing & Fit
1062,5646,Apparel,27.87,0,
1063,7068,Apparel,93.77,0,
1064,7888,Electronics,203.67,0,
1065,7214,Home & Kitchen,16.09,0,
1066,6297,Home & Kitchen,93.37,1,Sizing & Fit
1067,7435,Apparel,108.57,0,
1068,5600,Sports,141.29,1,Defective
1069,7363,Home & Kitchen,231.17,0,
1070,7061,Electronics,96.39,0,
1071,5241,Home & Kitchen,96.53,1,Wrong Item
1072,7041,Electronics,188.31,0,
1073,7824,Apparel,121.27,0,
1074,8417,Electronics,67.78,0,
1075,7612,Beauty,121.32,0,
1076,7945,Apparel,48.1,0,
1077,6363,Apparel,56.45,1,Changed Mind
1078,7139,Apparel,132.12,1,Late Delivery
1079,6390,Apparel,113.45,0,
1080,8003,Beauty,229.99,0,
1081,6478,Home & Kitchen,100.16,0,
1082,8499,Electronics,151.44,0,
1083,7556,Apparel,163.58,0,
1084,5775,Electronics,18.08,0,
1085,5034,Electronics,170.93,0,
1086,7253,Apparel,56.84,1,Wrong Item
1087,8152,Electronics,240.85,1,Sizing & Fit
1088,6955,Electronics,49.94,1,Wrong Item
1089,6585,Home & Kitchen,112.44,0,
1090,8943,Home & Kitchen,35.06,0,
1091,8459,Apparel,249.27,0,
1092,8073,Electronics,133.02,1,Sizing & Fit
1093,6021,Home & Kitchen,154.92,0,
1094,8461,Electronics,30.76,1,Sizing & Fit
1095,7613,Beauty,191.24,0,
1096,6129,Home & Kitchen,64.33,0,
1097,8843,Apparel,226.04,1,Changed Mind
1098,8893,Apparel,63.21,0,
1099,6500,Home & Kitchen,59.81,1,Sizing & Fit
1100,5702,Apparel,23.59,1,Late Delivery
1101,7449,Electronics,125.94,0,
1102,7777,Sports,147.74,0,
1103,6579,Electronics,30.44,0,
1104,5161,Electronics,197.25,1,Defective
1105,5201,Home & Kitchen,121.52,0,
1106,6981,Electronics,138.23,0,
1107,5995,Electronics,118.58,0,
1108,7317,Sports,109.18,1,Defective
1109,8934,Electronics,146.52,0,
1110,5815,Sports,51.48,0,
1111,8342,Sports,57.75,1,Wrong Item
1112,5455,Apparel,217.52,0,
1113,8533,Apparel,237.34,0,
1114,8798,Apparel,102.73,1,Changed Mind
1115,6275,Apparel,78.62,0,
1116,6016,Apparel,166.34,1,Defective
1117,8773,Home & Kitchen,111.05,0,
1118,7343,Apparel,20.97,0,
1119,8796,Apparel,51.7,1,Defective
1120,7767,Beauty,183.25,0,
1121,8820,Apparel,169.85,0,
1122,5337,Beauty,21.37,0,
1123,5878,Apparel,67.16,0,
1124,6076,Apparel,69.3,0,
1125,5791,Home & Kitchen,172.89,0,
1126,8993,Home & Kitchen,19.63,1,Sizing & Fit
1127,7264,Beauty,39.47,0,
1128,5763,Home & Kitchen,202.98,0,
1129,7235,Beauty,56.96,0,
1130,5379,Apparel,168.4,1,Defective
1131,5492,Apparel,70.97,0,
1132,8112,Beauty,38.37,1,Sizing & Fit
1133,6180,Beauty,72.15,0,
1134,7062,Sports,184.73,0,
1135,8884,Electronics,216.09,0,
1136,5064,Electronics,210.1,0,
1137,8928,Beauty,108.34,0,
1138,8910,Apparel,172.0,0,
1139,7568,Sports,63.17,1,Wrong Item
1140,6367,Beauty,83.89,0,
1141,6152,Electronics,225.64,0,
1142,7027,Beauty,18.06,0,
1143,7695,Beauty,35.09,0,
1144,6495,Apparel,63.85,0,
1145,8134,Sports,21.24,0,
1146,6162,Electronics,57.64,0,
1147,6522,Beauty,152.01,1,Defective
1148,7640,Apparel,114.03,0,
1149,5391,Beauty,224.78,0,
1150,6698,Electronics,207.1,1,Wrong Item
1151,5418,Apparel,95.33,1,Sizing & Fit
1152,7336,Sports,75.96,0,
1153,5378,Apparel,104.23,1,Sizing & Fit
1154,6796,Apparel,153.72,0,
1155,8561,Sports,77.99,0,
1156,7278,Sports,161.67,0,
1157,8065,Electronics,111.21,0,
1158,7088,Home & Kitchen,144.73,0,
1159,8099,Electronics,117.49,1,Wrong Item
1160,7182,Apparel,84.2,0,
1161,5200,Apparel,237.89,0,
1162,6863,Home & Kitchen,194.45,0,
1163,5779,Beauty,47.93,1,Sizing & Fit
1164,7977,Beauty,219.09,0,
1165,8104,Beauty,129.55,0,
1166,8119,Apparel,225.22,0,
1167,5502,Electronics,202.97,0,
1168,7454,Apparel,114.93,1,Sizing & Fit
1169,8645,Electronics,20.28,1,Sizing & Fit
1170,6751,Electronics,78.14,0,
1171,5804,Beauty,142.28,1,Late Delivery
1172,7146,Electronics,163.87,0,
1173,7731,Apparel,75.6,1,Wrong Item
1174,6895,Apparel,47.75,0,
1175,7773,Beauty,211.21,0,
1176,6570,Home & Kitchen,246.33,0,
1177,5960,Apparel,138.54,0,
1178,8810,Apparel,55.34,0,
1179,7660,Home & Kitchen,78.99,0,
1180,6485,Apparel,19.32,0,
1181,7690,Beauty,229.86,0,
1182,8840,Home & Kitchen,42.67,0,
1183,6028,Apparel,150.48,0,
1184,8289,Apparel,79.4,1,Sizing & Fit
1185,5502,Sports,145.23,0,
1186,7814,Electronics,168.08,0,
1187,5397,Electronics,209.99,0,
1188,5870,Beauty,63.51,1,Sizing & Fit
1189,7842,Sports,17.58,0,
1190,5392,Sports,47.17,0,
1191,5206,Beauty,226.5,1,Sizing & Fit
